photo_id,building_id,unit_id,photo_type,photo_url,caption,source_url,source_last_checked
photo_2,10_hanover_square,,building_primary,https://www.udr.com/globalassets/communities/10-hanover-square/images/aplus_backgroundimagedesktop_1900x1267_decoration-interior-table-living-room-accessories-style-pastel-colors-home-decor-interior-design.jpg,10 Hanover Square primary image,https://www.udr.com/new-york-city-apartments/lower-manhattan/10-hanover-square/apartments-pricing/,2026-05-28
photo_5,21_chelsea,,building_primary,https://www.udr.com/globalassets/communities/21-chelsea/images/aplusbackground_21chelsea_2023_lby-16_ilc.jpg,21 Chelsea primary image,https://www.udr.com/new-york-city-apartments/chelsea/21-chelsea/apartments-pricing/,2026-05-28
photo_10,47_05_center_boulevard,,building_primary,https://rockrose.com/wp-content/uploads/2019/05/JacobSnavely_190330_082F-e1568926509402.jpg,47-05 Center Boulevard primary image,https://rockrose.com/building/47-05-center-boulevard/,2026-05-28
photo_112,555ten,555ten-20c,floorplan,https://media.perchwell.com/property_images/pictures/110/467/912/watermark/PI-7u5p9m6sfs.jpg?1779474926,555TEN 20C floorplan,https://555ten.com/#availability,2026-05-28
photo_113,555ten,555ten-32h,floorplan,https://media.perchwell.com/property_images/pictures/110/468/172/watermark/PI-7u5qegq9vd.jpg?1779476158,555TEN 32H floorplan,https://555ten.com/#availability,2026-05-28
photo_114,555ten,555ten-43m,floorplan,https://media.perchwell.com/property_images/pictures/110/412/778/watermark/PI-7th7vlq80t.jpg?1778769147,555TEN 43M floorplan,https://555ten.com/#availability,2026-05-28
photo_115,555ten,555ten-31g,floorplan,https://media.perchwell.com/property_images/pictures/110/274/677/watermark/PI-7s72g9amqi.jpg?1777320283,555TEN 31G floorplan,https://555ten.com/#availability,2026-05-28
photo_116,555ten,555ten-20f,floorplan,https://media.perchwell.com/property_images/pictures/110/413/146/watermark/PI-7th8ncbhbv.jpg?1778769934,555TEN 20F floorplan,https://555ten.com/#availability,2026-05-28
photo_117,555ten,555ten-22d,floorplan,https://media.perchwell.com/property_images/pictures/107/175/528/watermark/PI-7p9nrp84ih.jpg?1774113265,555TEN 22D floorplan,https://555ten.com/#availability,2026-05-28
photo_118,555ten,555ten-51l,floorplan,https://media.perchwell.com/property_images/pictures/110/413/278/watermark/PI-7th99qevuf.jpg?1778770554,555TEN 51L floorplan,https://555ten.com/#availability,2026-05-28
photo_119,555ten,555ten-36a,floorplan,https://media.perchwell.com/property_images/pictures/110/468/623/watermark/PI-7u5t9tjo0u.jpg?1779479247,555TEN 36A floorplan,https://555ten.com/#availability,2026-05-28
photo_120,555ten,555ten-44n,floorplan,https://media.perchwell.com/property_images/pictures/102/534/851/watermark/PI-7nl4gdf9u2.jpg?1772305945,555TEN 44N floorplan,https://555ten.com/#availability,2026-05-28
photo_121,555ten,555ten-51e,floorplan,https://media.perchwell.com/property_images/pictures/107/845/800/watermark/PI-7qprgs17h7.jpg?1775766459,555TEN 51E floorplan,https://555ten.com/#availability,2026-05-28
photo_4,95_wall,,building_primary,https://www.udr.com/globalassets/communities/95-wall/images/cecily-95-wall-kitchen-living-2_staged_corrected_v2_kta15.jpg,95 Wall primary image,https://www.udr.com/new-york-city-apartments/lower-manhattan/95-wall/apartments-pricing/,2026-05-28
photo_1,columbus_square,,building_primary,https://www.udr.com/globalassets/communities/columbus-square/images/aplus_backgroundimagedesktop_1900x1267_columbussquare_2017_clb1_olr_edit.jpg,Columbus Square primary image,https://www.udr.com/new-york-city-apartments/upper-west-side/columbus-square/apartments-pricing/,2026-05-28
photo_7,eagle_lofts,,building_primary,https://rockrose.com/wp-content/uploads/2019/04/Eagle-2-Bed-Model-345_Dining-Living-Window_Lo-Res-1.jpg,Eagle Lofts primary image,https://rockrose.com/building/eagle-lofts/,2026-05-28
photo_100,haus25,haus25-h25_4415,floorplan,https://verisresidential.com/wp-content/uploads/apartment-images/Veris_H25_Floorplan_B7.png,Haus25 H25-4415 floorplan,https://verisresidential.com/apartments/h25-4415/,2026-05-28
photo_101,haus25,haus25-h25_3916,floorplan,https://verisresidential.com/wp-content/uploads/apartment-images/Veris_H25_Floorplan_S3.png,Haus25 H25-3916 floorplan,https://verisresidential.com/apartments/h25-3916/,2026-05-28
photo_102,haus25,haus25-h25_3817,floorplan,https://verisresidential.com/wp-content/uploads/apartment-images/Veris_H25_Floorplan_A2.png,Haus25 H25-3817 floorplan,https://verisresidential.com/apartments/h25-3817/,2026-05-28
photo_103,haus25,haus25-h25_3902,floorplan,https://verisresidential.com/wp-content/uploads/apartment-images/Veris_H25_Floorplan_S1.png,Haus25 H25-3902 floorplan,https://verisresidential.com/apartments/h25-3902/,2026-05-28
photo_104,haus25,haus25-h25_3303,floorplan,https://verisresidential.com/wp-content/uploads/apartment-images/Veris_H25_Floorplan_B10B.png,Haus25 H25-3303 floorplan,https://verisresidential.com/apartments/h25-3303/,2026-05-28
photo_105,haus25,haus25-h25_2607,floorplan,https://verisresidential.com/wp-content/uploads/apartment-images/Veris_H25_Floorplan_B6.png,Haus25 H25-2607 floorplan,https://verisresidential.com/apartments/h25-2607/,2026-05-28
photo_106,haus25,haus25-h25_2611,floorplan,https://verisresidential.com/wp-content/uploads/apartment-images/Veris_H25_Floorplan_S5.png,Haus25 H25-2611 floorplan,https://verisresidential.com/apartments/h25-2611/,2026-05-28
photo_107,haus25,haus25-h25_1614,floorplan,https://verisresidential.com/wp-content/uploads/apartment-images/Veris_H25_Floorplan_B4.png,Haus25 H25-1614 floorplan,https://verisresidential.com/apartments/h25-1614/,2026-05-28
photo_108,haus25,haus25-h25_2305,floorplan,https://verisresidential.com/wp-content/uploads/apartment-images/Veris_H25_Floorplan_A7.png,Haus25 H25-2305 floorplan,https://verisresidential.com/apartments/h25-2305/,2026-05-28
photo_109,haus25,haus25-h25_1907,floorplan,https://verisresidential.com/wp-content/uploads/apartment-images/Veris_H25_Floorplan_B6.png,Haus25 H25-1907 floorplan,https://verisresidential.com/apartments/h25-1907/,2026-05-28
photo_110,haus25,haus25-h25_1116,floorplan,https://verisresidential.com/wp-content/uploads/apartment-images/Veris_H25_Floorplan_A8A.png,Haus25 H25-1116 floorplan,https://verisresidential.com/apartments/h25-1116/,2026-05-28
photo_111,haus25,haus25-h25_0705,floorplan,https://verisresidential.com/wp-content/uploads/apartment-images/Veris_H25_Floorplan_A7.png,Haus25 H25-0705 floorplan,https://verisresidential.com/apartments/h25-0705/,2026-05-28
photo_123,haus25,,building_primary,https://verisresidential.com/wp-content/uploads/Haus25_1-scaled.jpeg,Haus25 property image,https://verisresidential.com/jersey-city-nj-apartments/haus25/,2026-05-28
photo_81,haus25,,building_primary,https://verisresidential.com/wp-content/uploads/Haus25_4KCrop_PropertyPageHeaders-2560x1440.jpg,Haus25 primary image,https://verisresidential.com/jersey-city-nj-apartments/haus25/,2026-05-28
photo_82,haus25,haus25-h25_3111,floorplan,https://verisresidential.com/wp-content/uploads/apartment-images/Veris_H25_Floorplan_B10A.png,Haus25 H25-3111 floorplan,https://verisresidential.com/apartments/h25-3111/,2026-05-28
photo_83,haus25,haus25-h25_1211,floorplan,https://verisresidential.com/wp-content/uploads/apartment-images/Veris_H25_Floorplan_S5.png,Haus25 H25-1211 floorplan,https://verisresidential.com/apartments/h25-1211/,2026-05-28
photo_84,haus25,haus25-h25_5301,floorplan,https://verisresidential.com/wp-content/uploads/apartment-images/Veris_H25_Floorplan_B13.png,Haus25 H25-5301 floorplan,https://verisresidential.com/apartments/h25-5301/,2026-05-28
photo_85,haus25,haus25-h25_5516,floorplan,https://verisresidential.com/wp-content/uploads/apartment-images/Veris_H25_Floorplan_S3.png,Haus25 H25-5516 floorplan,https://verisresidential.com/apartments/h25-5516/,2026-05-28
photo_86,haus25,haus25-h25_5316,floorplan,https://verisresidential.com/wp-content/uploads/apartment-images/Veris_H25_Floorplan_S3.png,Haus25 H25-5316 floorplan,https://verisresidential.com/apartments/h25-5316/,2026-05-28
photo_87,haus25,haus25-h25_4916,floorplan,https://verisresidential.com/wp-content/uploads/apartment-images/Veris_H25_Floorplan_S3.png,Haus25 H25-4916 floorplan,https://verisresidential.com/apartments/h25-4916/,2026-05-28
photo_88,haus25,haus25-h25_5317,floorplan,https://verisresidential.com/wp-content/uploads/apartment-images/Veris_H25_Floorplan_A2.png,Haus25 H25-5317 floorplan,https://verisresidential.com/apartments/h25-5317/,2026-05-28
photo_89,haus25,haus25-h25_4501,floorplan,https://verisresidential.com/wp-content/uploads/apartment-images/Veris_H25_Floorplan_S8B.png,Haus25 H25-4501 floorplan,https://verisresidential.com/apartments/h25-4501/,2026-05-28
photo_90,haus25,haus25-h25_4401,floorplan,https://verisresidential.com/wp-content/uploads/apartment-images/Veris_H25_Floorplan_S8B.png,Haus25 H25-4401 floorplan,https://verisresidential.com/apartments/h25-4401/,2026-05-28
photo_91,haus25,haus25-h25_5513,floorplan,https://verisresidential.com/wp-content/uploads/apartment-images/Veris_H25_Floorplan_S4.png,Haus25 H25-5513 floorplan,https://verisresidential.com/apartments/h25-5513/,2026-05-28
photo_92,haus25,haus25-h25_5514,floorplan,https://verisresidential.com/wp-content/uploads/apartment-images/Veris_H25_Floorplan_C1.png,Haus25 H25-5514 floorplan,https://verisresidential.com/apartments/h25-5514/,2026-05-28
photo_93,haus25,haus25-h25_4609,floorplan,https://verisresidential.com/wp-content/uploads/apartment-images/Veris_H25_Floorplan_B11.png,Haus25 H25-4609 floorplan,https://verisresidential.com/apartments/h25-4609/,2026-05-28
photo_94,haus25,haus25-h25_5211,floorplan,https://verisresidential.com/wp-content/uploads/apartment-images/Veris_H25_Floorplan_B1.png,Haus25 H25-5211 floorplan,https://verisresidential.com/apartments/h25-5211/,2026-05-28
photo_95,haus25,haus25-h25_5312,floorplan,https://verisresidential.com/wp-content/uploads/apartment-images/Veris_H25_Floorplan_A13.png,Haus25 H25-5312 floorplan,https://verisresidential.com/apartments/h25-5312/,2026-05-28
photo_96,haus25,haus25-h25_5601,floorplan,https://verisresidential.com/wp-content/uploads/apartment-images/Veris_H25_Floorplan_A6.png,Haus25 H25-5601 floorplan,https://verisresidential.com/apartments/h25-5601/,2026-05-28
photo_97,haus25,haus25-h25_5217,floorplan,https://verisresidential.com/wp-content/uploads/apartment-images/Veris_H25_Floorplan_A2.png,Haus25 H25-5217 floorplan,https://verisresidential.com/apartments/h25-5217/,2026-05-28
photo_98,haus25,haus25-h25_4913,floorplan,https://verisresidential.com/wp-content/uploads/apartment-images/Veris_H25_Floorplan_S4.png,Haus25 H25-4913 floorplan,https://verisresidential.com/apartments/h25-4913/,2026-05-28
photo_99,haus25,haus25-h25_5015,floorplan,https://verisresidential.com/wp-content/uploads/apartment-images/Veris_H25_Floorplan_B7.png,Haus25 H25-5015 floorplan,https://verisresidential.com/apartments/h25-5015/,2026-05-28
photo_6,hayden,,building_primary,https://rockrose.com/wp-content/uploads/2019/05/Hayden-24-FurnishedModel04-DiningArea.jpg,Hayden primary image,https://rockrose.com/building/hayden/,2026-05-28
photo_11,linc_lic,,building_primary,https://rockrose.com/wp-content/uploads/2023/09/Linc_Roof-Deck_Jacob-Snavely-IF_07-2019-683x1024.jpg,Linc LIC primary image,https://rockrose.com/building/linc-lic/,2026-05-28
photo_9,lyra,,building_primary,https://rockrose.com/wp-content/uploads/2022/09/DDP_1906-1024x679.jpg,Lyra primary image,https://rockrose.com/building/lyra/,2026-05-28
photo_12,miramar,,building_primary,https://rentmiramar.com/wp-content/uploads/2025/04/social-image.jpg,Miramar primary image,https://rentmiramar.com/availability/,2026-05-28
photo_13,miramar,miramar-817s,floorplan,https://rentmiramar.com/wp-content/uploads/2026/04/19640174_UNIT-817S.jpg,Miramar unit 817S floorplan,https://rentmiramar.com/availability/,2026-05-28
photo_14,miramar,miramar-1108s,floorplan,https://rentmiramar.com/wp-content/uploads/2026/04/215655704_UNIT-1108S-1208S.jpg,Miramar unit 1108S floorplan,https://rentmiramar.com/availability/,2026-05-28
photo_15,miramar,miramar-1201n,floorplan,https://rentmiramar.com/wp-content/uploads/2026/04/333275792_UNIT-301N_-_1201N.jpg,Miramar unit 1201N floorplan,https://rentmiramar.com/availability/,2026-05-28
photo_16,miramar,miramar-1500n,floorplan,https://rentmiramar.com/wp-content/uploads/2026/04/153287145_UNIT-900N_-_1500N.jpg,Miramar unit 1500N floorplan,https://rentmiramar.com/availability/,2026-05-28
photo_17,miramar,miramar-1204n,floorplan,https://rentmiramar.com/wp-content/uploads/2026/04/320062277_UNIT-1204N.jpg,Miramar unit 1204N floorplan,https://rentmiramar.com/availability/,2026-05-28
photo_18,miramar,miramar-1806e,floorplan,https://rentmiramar.com/wp-content/uploads/2026/04/91460607_UNIT-1606E_-_1806E.jpg,Miramar unit 1806E floorplan,https://rentmiramar.com/availability/,2026-05-28
photo_19,miramar,miramar-1209n,floorplan,https://rentmiramar.com/wp-content/uploads/2026/04/329753413_UNIT-1209N.jpg,Miramar unit 1209N floorplan,https://rentmiramar.com/availability/,2026-05-28
photo_20,miramar,miramar-1702e,floorplan,https://rentmiramar.com/wp-content/uploads/2026/04/366495883_UNIT-1602E_-_1802E.jpg,Miramar unit 1702E floorplan,https://rentmiramar.com/availability/,2026-05-28
photo_21,miramar,miramar-1205n,floorplan,https://rentmiramar.com/wp-content/uploads/2026/04/251841707_UNIT-1205N.jpg,Miramar unit 1205N floorplan,https://rentmiramar.com/availability/,2026-05-28
photo_22,miramar,miramar-1507e,floorplan,https://rentmiramar.com/wp-content/uploads/2026/04/8437169_UNIT-1407E_-_1507E.jpg,Miramar unit 1507E floorplan,https://rentmiramar.com/availability/,2026-05-28
photo_23,miramar,miramar-1805e,floorplan,https://rentmiramar.com/wp-content/uploads/2026/04/212944921_UNIT-1605E_-_1805E.jpg,Miramar unit 1805E floorplan,https://rentmiramar.com/availability/,2026-05-28
photo_24,miramar,miramar-1106n,floorplan,https://rentmiramar.com/wp-content/uploads/2026/04/358931782_UNIT-1106N.jpg,Miramar unit 1106N floorplan,https://rentmiramar.com/availability/,2026-05-28
photo_80,newport_rentals,,building_primary,https://sxxweb7cdn.cachefly.net/img/thumbnail.aspx?p=/common/uploads/client/1188/media/c2880c7f-73fb-4391-ac4e-75e327bab3f4.jpg&w=500&h=500&extent=true&f=jpg,Newport Rentals primary image,https://www.newportrentals.com/apartments-jersey-city-for-rent/,2026-05-28
photo_124,the_blvd_collection,,building_primary,https://verisresidential.com/wp-content/uploads/401BLVD_3235_Final.jpg,The BLVD Collection property image,https://verisresidential.com/jersey-city-nj-apartments/the-blvd-collection/,2026-05-28
