table_name,field_name,definition,data_type,example,required,notes
buildings.csv,building_id,连接所有表的唯一楼盘 ID。,text,1440,yes,
buildings.csv,building_name,楼盘名称。,text,1440,yes,
buildings.csv,address,楼盘主地址或租赁办公室地址。,text,"1440 Amsterdam Ave, New York, NY 10027",yes,
buildings.csv,city_area,用户原始分类区域：NJ、Manhattan、Long Island。,text,Manhattan,yes,
buildings.csv,neighborhood,更细分社区。,text,Morningside Heights,no,
buildings.csv,city,城市。,text,New York,no,
buildings.csv,state,州缩写。,text,NY,no,
buildings.csv,zip,邮编。,text,10027,no,
buildings.csv,lat,纬度。,number,40.8185,no,
buildings.csv,lng,经度。,number,-73.9542,no,
buildings.csv,official_website,楼盘官网。,url,https://www.1440amsterdam.com/,yes,
buildings.csv,availability_url,官网可租房源页面或官方数据源页面。,url,https://www.1440amsterdam.com/availability,yes,
buildings.csv,description,楼盘简介。,text,Modern Manhattan rentals near Columbia University,no,
buildings.csv,building_type,楼盘类型。,text,Rental apartment building,no,
buildings.csv,year_built,建造年份，如官方披露。,number,2024,no,
buildings.csv,unit_count,总户数，如官方披露。,number,320,no,
buildings.csv,lease_term_default,默认租期。,text,12 months,no,
buildings.csv,utilities_policy,水电气网等费用政策。,text,Utilities separate,no,
buildings.csv,amenities,楼盘设施，分号分隔。,text,Doorman; gym; laundry,no,
buildings.csv,security_features,安全/门禁/前台信息。,text,Doorman; controlled access,no,
buildings.csv,pet_policy,宠物政策摘要。,text,Contact leasing office,no,
buildings.csv,parking_info,停车信息。,text,On-site parking available,no,
buildings.csv,transit_summary,交通摘要。,text,1 train nearby,no,
buildings.csv,nearby_summary,周边摘要。,text,Columbia; grocery; restaurants,no,
buildings.csv,primary_photo_url,官网主图 URL。,url,https://...,no,
buildings.csv,source_url,该行主要来源 URL。,url,https://...,yes,
buildings.csv,source_last_checked,最后抓取日期。,date,2026-05-28,yes,
buildings.csv,verification_status,来源验证状态。,text,official_site_scraped,yes,
buildings.csv,verification_notes,验证说明/限制。,text,Directly read from the apartment community website or its public official data feed.,no,
units.csv,unit_id,房源唯一 ID，通常为 building_id + unit_number。,text,1440-2719,yes,
units.csv,building_id,关联 buildings.csv 的楼盘 ID。,text,1440,yes,
units.csv,unit_number,房号或官方户型/单元编号。,text,2719,yes,
units.csv,floor_plan,户型标签。,text,1B1B,yes,
units.csv,beds,卧室数，Studio 为 0。,number,1,yes,
units.csv,baths,卫生间数。,number,1,yes,
units.csv,sqft,面积平方英尺，如官方披露。,number,665,no,
units.csv,floor,楼层，如官方披露。,text,15,no,
units.csv,gross_rent,官网显示月租。,number,4650,yes,
units.csv,net_effective_rent,净有效租金，如官网明确披露。,number,4500,no,
units.csv,lease_term,该价格对应租期。,text,12 months,no,
units.csv,available_date,可入住日期。,text/date,Available now,yes,
units.csv,concession,优惠/备注。,text,1 month free,no,
units.csv,default_people,合租计算默认人数。,number,1,yes,
units.csv,max_people,合租计算最大人数。,number,2,yes,
units.csv,share_plan_type,分摊方式。,text,whole_unit / bedroom_split,yes,
units.csv,rent_step_difference,不同房间租金差，用于计算器。,number,300,no,
units.csv,space_1_name,空间 1 名称。,text,Bedroom 1,no,
units.csv,space_2_name,空间 2 名称。,text,Bedroom 2,no,
units.csv,space_3_name,空间 3 名称。,text,Bedroom 3,no,
units.csv,security_deposit_amount,押金金额，如官方明确披露。,number,1000,no,
units.csv,broker_fee_amount,中介费金额，如适用。,number,0,no,
units.csv,amenity_fee_amount,设施费金额，如官方明确披露。,number,500,no,
units.csv,utilities_estimate_monthly,每月水电网预估。,number,150,no,
units.csv,source_url,该房源来源 URL。,url,https://...,yes,
units.csv,source_last_checked,最后抓取日期。,date,2026-05-28,yes,
units.csv,verification_status,来源验证状态。,text,official_site_scraped,yes,
units.csv,verification_notes,验证说明/限制。,text,Directly read from the apartment community website or its public official data feed.,no,
photos.csv,photo_id,photo_id field in photos table.,text,,yes,
photos.csv,building_id,building_id field in photos table.,text,,yes,
photos.csv,unit_id,unit_id field in photos table.,text,,yes,
photos.csv,photo_type,photo_type field in photos table.,text,,no,
photos.csv,photo_url,photo_url field in photos table.,text,,yes,
photos.csv,caption,caption field in photos table.,text,,no,
photos.csv,source_url,source_url field in photos table.,text,,no,
photos.csv,source_last_checked,source_last_checked field in photos table.,text,,no,
community_pois.csv,poi_id,POI 唯一 ID。,text,poi_1,yes,
community_pois.csv,building_id,关联楼盘 ID。,text,1440,yes,
community_pois.csv,category,POI 类型：中国餐厅/中超或中国设施/商场/学校/交通。,text,chinese_restaurant,yes,
community_pois.csv,name,POI 名称。,text,H Mart,yes,
community_pois.csv,address,POI 地址，如 OSM 有记录。,text,39 3rd Ave,no,
community_pois.csv,distance_miles,到楼盘直线距离，英里。,number,0.4,no,
community_pois.csv,lat,POI 纬度。,number,40.7,no,
community_pois.csv,lng,POI 经度。,number,-74.0,no,
community_pois.csv,notes,POI 标签备注。,text,chinese,no,
community_pois.csv,source_url,POI 来源 URL。,url,https://www.openstreetmap.org/node/...,yes,
community_pois.csv,source_last_checked,最后抓取日期。,date,2026-05-28,yes,